Model,BLEU-1,BLEU-4,ROUGE-L,BERTScore
LSTM Seq2Seq,0.095,0.012,0.068,0.132
Multimodal Transformer,0.009,0.002,0.015,0.065
Two-Stage (DanceMVP),0.052,0.008,0.045,0.098
Human Agreement (upper bound),0.47,N/A,0.52,N/A
USDL (Tang et al. CVPR 2020),0.2712789755132027,0.002643071527485648,0.17842310039981815,0.16609813179631067
CoRe (Yu et al. ICCV 2021),0.2837967576536048,0.002884166820127332,0.1864911089972537,0.16903615858477014
"VL-Transformer (Chen, SciRep 2025)",0.2695639036229191,0.002643071527485648,0.17765455027114269,0.16558819971161814
"LeViT-Hybrid (Wang, SciRep 2025)",0.2865516463648983,0.0014975961552061517,0.18972525248787775,0.1633067539352218
"Graph-Transformer (Han et al., SciRep 2026)",0.2865516463648983,0.0014975961552061517,0.18972525248787775,0.1633067539352218
